14/01/2016 18:06:49 - DB Cleanup Start
14/01/2016 18:06:50 - Database Server: APP-SRV\PanaCIM
14/01/2016 18:06:50 - Database Name: PanaCIM
14/01/2016 18:06:51 - DB Cleanup Start For Production
14/01/2016 18:06:54 - deleting files in C:\BACKUPDB
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.21_09.20.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.21_09.20.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.21_09.30.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.21_09.30.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.21_09.40.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.21_09.40.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.21_09.50.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.21_09.50.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.21_10.00.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.21_10.00.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.03.31_FUL.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.03.31_FUL.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.10.01_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.10.01_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.20.01_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.20.01_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.30.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.30.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.40.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.40.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.50.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_15.50.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_16.00.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_16.00.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_16.10.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_16.10.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_16.20.02_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_16.20.02_LOG.bak
