2014-07-14 10:58:35.3013 3580 MES.Runtime 9   [07/14/14 10:58:35.251 AM] [MESConfiguration] [Information] [Getting PostMaster Address]
2014-07-14 10:58:36.5354 3580 MES.Runtime 9   [07/14/14 10:58:36.532 AM] [MESConfiguration] [Important] [Got PostMaster Address: CIMC-SRV]
2014-07-14 10:58:36.5354 3580 MES.Runtime 9   [07/14/14 10:58:36.534 AM] [Post Master Monitor] [Information] [Connecting to CIMC-SRV]
2014-07-14 10:58:36.6964 3580 MES.Runtime 9   [07/14/14 10:58:36.687 AM] [Post Master Monitor] [Important] [Connected to CIMC-SRV]
2014-07-14 10:58:36.8304 3580 MES.Runtime 9   [07/14/14 10:58:36.821 AM] [Post Master Monitor] [Important] [Publish Service is running at app-srv at mailbox 17]
2014-07-14 10:58:36.8304 3580 MES.Runtime 9   [07/14/14 10:58:36.823 AM] [Post Master Monitor] [Important] [PEM Service is running at CIMC-SRV at mailbox 30]
2014-07-15 12:14:09.9661 3580 MES.Runtime 9   [07/15/14 12:14:09.946 PM] [Post Master Monitor] [Error] [PEM Service is down at CIMC-SRV at mailbox 30]
2014-07-15 12:14:12.7132 3580 MES.Runtime 9   [07/15/14 12:14:12.722 PM] [Post Master Monitor] [Warning] [Skipped MC_Message->M_PM_SHUTDOWN->65535]
2014-07-15 12:14:12.8862 3580 MES.Runtime 9   [07/15/14 12:14:12.886 PM] [Post Master Monitor] [Error] [Disconnected from CIMC-SRV]
2014-07-15 12:14:19.0126 3580 MES.Runtime 9   [07/15/14 12:14:19.011 PM] [Post Master Monitor] [Error] [Did not receive successfuly translated request response message]
2014-07-15 12:14:19.0126 3580 MES.Runtime 9   [07/15/14 12:14:19.012 PM] [Post Master Monitor] [Error] [Failed to connect]
2014-07-15 12:14:21.0737 3580 MES.Runtime 9   [07/15/14 12:14:21.077 PM] [Post Master Monitor] [Error] [Failed to connect]
2014-07-15 12:14:23.0858 3580 MES.Runtime 9   [07/15/14 12:14:23.087 PM] [Post Master Monitor] [Error] [Failed to connect]
2014-07-15 12:14:25.0859 3580 MES.Runtime 9   [07/15/14 12:14:25.094 PM] [Post Master Monitor] [Error] [Failed to connect]
2014-07-15 12:14:27.0951 3580 MES.Runtime 9   [07/15/14 12:14:27.096 PM] [Post Master Monitor] [Error] [Failed to connect]
2014-07-15 12:14:29.1002 3580 MES.Runtime 9   [07/15/14 12:14:29.104 PM] [Post Master Monitor] [Error] [Failed to connect]
2014-07-15 12:14:31.1233 3580 MES.Runtime 9   [07/15/14 12:14:31.132 PM] [Post Master Monitor] [Error] [Failed to connect]
2014-07-15 12:14:33.1264 3580 MES.Runtime 9   [07/15/14 12:14:33.130 PM] [Post Master Monitor] [Error] [Failed to connect]
2014-07-15 12:14:35.1295 3580 MES.Runtime 9   [07/15/14 12:14:35.135 PM] [Post Master Monitor] [Error] [Failed to connect]
2014-07-15 12:14:37.1326 3580 MES.Runtime 9   [07/15/14 12:14:37.133 PM] [Post Master Monitor] [Error] [Failed to connect]
2014-07-15 12:14:38.7857 3580 MES.Runtime 9   [07/15/14 12:14:38.786 PM] [Post Master Monitor] [Important] [Connected to CIMC-SRV]
2014-07-15 12:15:19.7781 3580 MES.Runtime 9   [07/15/14 12:15:19.779 PM] [Post Master Monitor] [Important] [Publish Service is running at app-srv at mailbox 31]
2014-07-15 12:16:27.7059 3580 MES.Runtime 9   [07/15/14 12:16:27.705 PM] [Post Master Monitor] [Important] [PEM Service is running at CIMC-SRV at mailbox 39]
